polisher,depth,total_SNP_errors,total_Deletion_errors,total_Insertion_errors,total_Mixed_errors,Existing,Introduced
fmlrc2,25.0,57.0,2.0,3.0,184.0,2.0,244.0
fmlrc2,25.1,39.0,7.0,2.0,79.0,7.0,120.0
fmlrc2,25.2,50.0,8.0,3.0,77.0,8.0,130.0
fmlrc2,25.3,35.0,4.0,5.0,121.0,4.0,161.0
fmlrc2,25.4,33.0,6.0,4.0,90.0,5.0,128.0
fmlrc2,25.5,25.0,4.0,1.0,77.0,4.0,103.0
fmlrc2,25.6,46.0,5.0,3.0,147.0,5.0,196.0
fmlrc2,25.7,36.0,5.0,0.0,60.0,5.0,96.0
fmlrc2,25.8,22.0,5.0,3.0,183.0,4.0,209.0
fmlrc2,25.9,42.0,5.0,1.0,42.0,4.0,86.0
fmlrc2,26.0,45.0,6.0,1.0,77.0,6.0,123.0
fmlrc2,26.1,34.0,2.0,2.0,132.0,2.0,168.0
fmlrc2,26.2,32.0,4.0,0.0,114.0,4.0,146.0
fmlrc2,26.3,34.0,2.0,2.0,48.0,2.0,84.0
fmlrc2,26.4,45.0,3.0,4.0,52.0,2.0,102.0
fmlrc2,26.5,25.0,6.0,0.0,62.0,6.0,87.0
fmlrc2,26.6,23.0,4.0,1.0,33.0,2.0,59.0
fmlrc2,26.7,41.0,7.0,1.0,93.0,4.0,138.0
fmlrc2,26.8,13.0,6.0,1.0,47.0,4.0,63.0
fmlrc2,26.9,35.0,3.0,1.0,74.0,3.0,110.0
fmlrc2,27.0,13.0,4.0,1.0,33.0,4.0,47.0
fmlrc2,27.1,26.0,2.0,1.0,28.0,2.0,55.0
fmlrc2,27.2,19.0,7.0,2.0,58.0,5.0,81.0
fmlrc2,27.3,28.0,6.0,2.0,87.0,4.0,119.0
fmlrc2,27.4,22.0,4.0,2.0,70.0,3.0,95.0
fmlrc2,27.5,12.0,6.0,4.0,53.0,4.0,71.0
fmlrc2,27.6,24.0,4.0,1.0,25.0,4.0,50.0
fmlrc2,27.7,14.0,5.0,2.0,31.0,4.0,48.0
fmlrc2,27.8,22.0,4.0,0.0,47.0,4.0,69.0
fmlrc2,27.9,16.0,0.0,0.0,85.0,0.0,101.0
fmlrc2,28.0,40.0,2.0,3.0,33.0,2.0,76.0
fmlrc2,28.1,17.0,5.0,2.0,44.0,4.0,64.0
fmlrc2,28.2,27.0,4.0,0.0,20.0,4.0,47.0
fmlrc2,28.3,29.0,5.0,1.0,31.0,5.0,61.0
fmlrc2,28.4,16.0,4.0,1.0,41.0,4.0,58.0
fmlrc2,28.5,21.0,16.0,1.0,29.0,4.0,63.0
fmlrc2,28.6,15.0,2.0,2.0,70.0,2.0,87.0
fmlrc2,28.7,11.0,5.0,0.0,65.0,4.0,77.0
fmlrc2,28.8,14.0,4.0,1.0,35.0,4.0,50.0
fmlrc2,28.9,16.0,5.0,1.0,38.0,5.0,55.0
fmlrc2,29.0,12.0,8.0,3.0,18.0,5.0,36.0
fmlrc2,29.1,11.0,5.0,1.0,12.0,5.0,24.0
fmlrc2,29.2,23.0,5.0,1.0,19.0,5.0,43.0
fmlrc2,29.3,25.0,5.0,1.0,32.0,5.0,58.0
fmlrc2,29.4,12.0,6.0,0.0,41.0,4.0,55.0
fmlrc2,29.5,14.0,4.0,2.0,31.0,4.0,47.0
fmlrc2,29.6,24.0,5.0,2.0,17.0,5.0,43.0
fmlrc2,29.7,14.0,4.0,1.0,9.0,4.0,24.0
fmlrc2,29.8,26.0,4.0,0.0,16.0,3.0,43.0
fmlrc2,29.9,10.0,3.0,8.0,8.0,3.0,26.0
fmlrc2,30.0,21.0,6.0,1.0,14.0,6.0,36.0
fmlrc2,30.1,7.0,3.0,0.0,13.0,3.0,20.0
fmlrc2,30.2,8.0,4.0,3.0,32.0,4.0,43.0
fmlrc2,30.3,11.0,5.0,2.0,21.0,4.0,35.0
fmlrc2,30.4,13.0,5.0,0.0,12.0,5.0,25.0
fmlrc2,30.5,13.0,4.0,0.0,15.0,4.0,28.0
fmlrc2,30.6,14.0,5.0,1.0,19.0,4.0,35.0
fmlrc2,30.7,23.0,4.0,0.0,5.0,4.0,28.0
fmlrc2,30.8,9.0,7.0,1.0,21.0,7.0,31.0
fmlrc2,30.9,2.0,4.0,0.0,2.0,4.0,4.0
fmlrc2,31.0,7.0,4.0,1.0,7.0,4.0,15.0
fmlrc2,31.1,14.0,4.0,1.0,45.0,4.0,60.0
fmlrc2,31.2,14.0,4.0,1.0,7.0,4.0,22.0
fmlrc2,31.3,19.0,5.0,0.0,10.0,5.0,29.0
fmlrc2,31.4,7.0,5.0,2.0,15.0,2.0,27.0
fmlrc2,31.5,5.0,4.0,1.0,0.0,4.0,6.0
fmlrc2,31.6,9.0,6.0,2.0,14.0,4.0,27.0
fmlrc2,31.7,15.0,5.0,2.0,16.0,5.0,33.0
fmlrc2,31.8,10.0,5.0,0.0,35.0,2.0,48.0
fmlrc2,31.9,14.0,5.0,1.0,46.0,5.0,61.0
fmlrc2,32.0,13.0,4.0,0.0,12.0,4.0,25.0
fmlrc2,32.1,9.0,5.0,0.0,7.0,5.0,16.0
fmlrc2,32.2,8.0,4.0,2.0,15.0,4.0,25.0
fmlrc2,32.3,18.0,7.0,1.0,17.0,7.0,36.0
fmlrc2,32.4,8.0,5.0,0.0,26.0,4.0,35.0
fmlrc2,32.5,15.0,3.0,0.0,11.0,3.0,26.0
fmlrc2,32.6,6.0,5.0,1.0,21.0,5.0,28.0
fmlrc2,32.7,6.0,4.0,1.0,23.0,4.0,30.0
fmlrc2,32.8,4.0,3.0,1.0,24.0,3.0,29.0
fmlrc2,32.9,3.0,4.0,0.0,11.0,4.0,14.0
fmlrc2,33.0,6.0,5.0,0.0,3.0,5.0,9.0
fmlrc2,33.1,6.0,4.0,0.0,19.0,4.0,25.0
fmlrc2,33.2,10.0,4.0,2.0,0.0,4.0,12.0
fmlrc2,33.3,14.0,4.0,3.0,29.0,4.0,46.0
fmlrc2,33.4,12.0,4.0,1.0,0.0,4.0,13.0
fmlrc2,33.5,11.0,4.0,3.0,5.0,4.0,19.0
fmlrc2,33.6,4.0,4.0,0.0,19.0,4.0,23.0
fmlrc2,33.7,8.0,4.0,0.0,9.0,4.0,17.0
fmlrc2,33.8,11.0,4.0,0.0,8.0,4.0,19.0
fmlrc2,33.9,9.0,4.0,0.0,62.0,4.0,71.0
fmlrc2,34.0,2.0,4.0,0.0,5.0,4.0,7.0
fmlrc2,34.1,4.0,4.0,0.0,23.0,4.0,27.0
fmlrc2,34.2,7.0,4.0,0.0,6.0,4.0,13.0
fmlrc2,34.3,7.0,4.0,0.0,21.0,4.0,28.0
fmlrc2,34.4,5.0,5.0,1.0,8.0,4.0,15.0
fmlrc2,34.5,9.0,5.0,0.0,28.0,4.0,38.0
fmlrc2,34.6,13.0,5.0,0.0,13.0,4.0,27.0
fmlrc2,34.7,9.0,4.0,1.0,0.0,4.0,10.0
fmlrc2,34.8,7.0,5.0,1.0,0.0,5.0,8.0
fmlrc2,34.9,2.0,4.0,0.0,23.0,4.0,25.0
fmlrc2,35.0,7.0,12.0,1.0,0.0,4.0,16.0
fmlrc2,35.1,3.0,4.0,0.0,6.0,4.0,9.0
fmlrc2,35.2,8.0,4.0,0.0,5.0,4.0,13.0
fmlrc2,35.3,1.0,5.0,0.0,0.0,5.0,1.0
fmlrc2,35.4,8.0,4.0,1.0,0.0,4.0,9.0
fmlrc2,35.5,3.0,5.0,0.0,4.0,5.0,7.0
fmlrc2,35.6,6.0,5.0,0.0,0.0,5.0,6.0
fmlrc2,35.7,11.0,3.0,0.0,2.0,3.0,13.0
fmlrc2,35.8,10.0,5.0,0.0,13.0,5.0,23.0
fmlrc2,35.9,3.0,4.0,0.0,6.0,4.0,9.0
fmlrc2,36.0,5.0,3.0,2.0,2.0,3.0,9.0
fmlrc2,36.1,6.0,5.0,0.0,21.0,5.0,27.0
fmlrc2,36.2,4.0,4.0,1.0,2.0,4.0,7.0
fmlrc2,36.3,4.0,4.0,0.0,5.0,4.0,9.0
fmlrc2,36.4,8.0,5.0,1.0,0.0,4.0,10.0
fmlrc2,36.5,3.0,5.0,2.0,2.0,5.0,7.0
fmlrc2,36.6,2.0,4.0,1.0,2.0,4.0,5.0
fmlrc2,36.7,3.0,5.0,0.0,2.0,5.0,5.0
fmlrc2,36.8,2.0,4.0,0.0,8.0,4.0,10.0
fmlrc2,36.9,5.0,4.0,1.0,5.0,1.0,14.0
fmlrc2,37.0,5.0,4.0,1.0,0.0,4.0,6.0
fmlrc2,37.1,5.0,4.0,2.0,4.0,4.0,11.0
fmlrc2,37.2,8.0,4.0,0.0,0.0,4.0,8.0
fmlrc2,37.3,2.0,4.0,0.0,0.0,4.0,2.0
fmlrc2,37.4,0.0,4.0,0.0,0.0,4.0,0.0
fmlrc2,37.5,3.0,5.0,0.0,0.0,5.0,3.0
fmlrc2,37.6,6.0,4.0,1.0,7.0,4.0,14.0
fmlrc2,37.7,9.0,5.0,2.0,18.0,5.0,29.0
fmlrc2,37.8,5.0,5.0,0.0,3.0,5.0,8.0
fmlrc2,37.9,1.0,4.0,0.0,5.0,4.0,6.0
fmlrc2,38.0,2.0,5.0,0.0,0.0,5.0,2.0
fmlrc2,38.1,2.0,7.0,0.0,0.0,7.0,2.0
fmlrc2,38.2,8.0,5.0,2.0,18.0,5.0,28.0
fmlrc2,38.3,5.0,5.0,0.0,0.0,5.0,5.0
fmlrc2,38.4,0.0,5.0,0.0,5.0,5.0,5.0
fmlrc2,38.5,5.0,4.0,0.0,2.0,4.0,7.0
fmlrc2,38.6,1.0,4.0,0.0,0.0,4.0,1.0
fmlrc2,38.7,0.0,4.0,1.0,0.0,4.0,1.0
fmlrc2,38.8,4.0,4.0,0.0,0.0,4.0,4.0
fmlrc2,38.9,2.0,5.0,1.0,0.0,5.0,3.0
fmlrc2,39.0,0.0,4.0,0.0,4.0,4.0,4.0
fmlrc2,39.1,2.0,7.0,1.0,0.0,7.0,3.0
fmlrc2,39.2,3.0,4.0,1.0,0.0,4.0,4.0
fmlrc2,39.3,3.0,5.0,1.0,5.0,4.0,10.0
fmlrc2,39.4,3.0,7.0,1.0,0.0,7.0,4.0
fmlrc2,39.5,0.0,5.0,0.0,0.0,5.0,0.0
fmlrc2,39.6,3.0,7.0,3.0,5.0,7.0,11.0
fmlrc2,39.7,1.0,4.0,0.0,15.0,4.0,16.0
fmlrc2,39.8,1.0,4.0,0.0,0.0,4.0,1.0
