Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	4801753	2	pre_polish	4752111	90	1
40x	True	4801714	2	pypolca	4752118	89	1
48x	True	4801702	2	pypolca	4752116	89	1
47x	True	4801703	2	pypolca	4752117	89	1
4x	True	4801710	2	pypolca	4752115	89	1
14x	True	4801703	2	pypolca	4752116	90	1
25x	True	4801702	2	pypolca	4752116	89	1
9x	True	4801697	2	pypolca	4752114	89	1
28x	True	4801703	2	pypolca	4752116	89	1
42x	True	4801703	2	polypolish	4752117	89	1
34x	True	4801702	2	pypolca	4752118	89	1
13x	True	4801700	2	pypolca	4752114	89	1
30x	True	4801706	2	pypolca	4752116	90	1
18x	True	4801703	2	pypolca	4752117	89	1
38x	True	4801719	2	pypolca	4752117	89	1
43x	True	4801718	2	pypolca	4752117	89	1
8x	True	4803143	3	polypolish	4752114	89	1
17x	True	4801699	2	pre_polish	4752112	89	1
10x	True	4801713	2	pypolca	4752115	89	1
16x	True	4801699	2	pre_polish	4752111	90	1
41x	True	4801710	2	pre_polish	4752111	90	1
33x	True	4801702	2	pypolca	4752116	89	1
32x	True	4801707	2	pre_polish	4752111	90	1
15x	True	4801706	2	pypolca	4752117	89	1
35x	True	4801743	2	pypolca	4752116	89	1
23x	True	4801715	2	polypolish	4752117	90	1
36x	True	4801698	2	pre_polish	4752111	90	1
7x	True	4801698	2	pre_polish	4752112	89	1
12x	True	4801702	2	pre_polish	4752112	89	1
20x	True	4801715	2	pypolca	4752117	90	1
21x	True	4801719	2	pypolca	4752118	89	1
49x	True	4801703	2	pypolca	4752117	89	1
22x	True	4801703	2	pypolca	4752117	90	1
46x	True	4801719	2	pypolca	4752118	89	1
11x	True	4801705	2	pypolca	4752115	90	1
1x	True	4820721	4	pre_polish	4752111	90	0
19x	True	4801704	2	pypolca	4752118	90	1
5x	True	4801698	2	pypolca	4752112	89	1
6x	True	4801686	2	pre_polish	4752111	90	1
2x	True	4801680	2	pre_polish	4752111	89	1
3x	True	4803578	3	pypolca	4752113	89	1
39x	True	4801701	2	pypolca	4752116	89	1
24x	True	4801709	2	pypolca	4752117	89	1
45x	True	4801718	2	pypolca	4752118	90	1
26x	True	4801708	2	pypolca	4752117	90	1
50x	True	4801697	2	pre_polish	4752111	89	1
37x	True	4801720	2	pypolca	4752118	89	1
31x	True	4801716	2	pypolca	4752117	89	1
29x	True	4801697	2	pre_polish	4752111	90	1
27x	True	4801759	2	pypolca	4752117	89	1
