Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	4214383	21	pypolca	3055097	96	0
40x	True	4191695	12	pypolca	3055095	96	0
48x	True	4258941	23	pypolca	3055095	96	0
47x	True	4219141	19	pypolca	3055096	96	0
4x	True	4169921	2	pre_polish	3055095	96	0
14x	True	4169921	2	pypolca	3055096	96	0
25x	True	4180796	6	pypolca	3055095	96	0
9x	True	4169920	2	pypolca	3055095	96	0
28x	True	4184599	7	pypolca	3055095	96	1
42x	True	4191232	12	polypolish	3055094	96	0
34x	True	4182063	8	pypolca	3055095	96	0
13x	True	4173422	3	pypolca	3055096	96	0
30x	True	4174525	6	pypolca	3055095	96	0
18x	True	4171577	4	pypolca	3055096	96	0
38x	True	4243850	19	pypolca	3055096	96	1
43x	True	4217367	11	pypolca	3055096	96	0
8x	True	4169920	2	pypolca	3055095	96	0
17x	True	4172693	4	pypolca	3055095	96	0
10x	True	4169921	2	pre_polish	3055095	96	0
16x	True	4176696	4	pypolca	3055095	96	0
41x	True	4199745	8	pypolca	3055096	96	0
33x	True	4174959	5	pypolca	3055095	96	1
32x	True	4177385	6	pypolca	3055097	96	0
15x	True	4180517	5	pypolca	3055096	96	0
35x	True	4214867	13	pypolca	3055096	96	0
23x	True	4172223	4	pypolca	3055095	96	0
36x	True	4185358	7	pypolca	3055096	96	0
7x	True	4169918	2	polypolish	3055094	96	0
12x	True	4172097	4	pypolca	3055096	96	0
20x	True	4173661	4	pypolca	3055095	96	0
21x	True	4170660	3	pypolca	3055096	96	0
49x	True	4211294	19	pypolca	3055097	96	1
22x	True	4170795	3	pypolca	3055095	96	0
46x	True	4202933	17	pypolca	3055096	96	0
11x	True	4169920	2	pypolca	3055095	96	0
1x	True	4169921	2	pre_polish	3055095	96	0
19x	True	4179119	4	pypolca	3055095	96	0
5x	True	4169921	2	pre_polish	3055095	96	0
6x	True	4169921	2	pre_polish	3055095	96	0
2x	True	4169920	2	pypolca	3055095	96	0
3x	True	4169921	2	pre_polish	3055095	96	0
39x	True	4206416	10	pypolca	3055095	96	0
24x	True	4171232	4	pypolca	3055096	96	0
45x	True	4178304	9	pypolca	3055096	96	0
26x	True	4172780	5	pypolca	3055096	96	0
50x	True	4233329	21	pypolca	3055096	96	0
37x	True	4199618	16	pypolca	3055095	96	1
31x	True	4174497	3	pypolca	3055095	96	0
29x	True	4175592	6	pypolca	3055095	96	0
27x	True	4172495	5	pypolca	3055096	96	0
