Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	5147619	3	pypolca	3281443	94	0
40x	True	5149650	4	pypolca	3281443	94	0
48x	True	5155507	7	pypolca	3281443	94	0
47x	True	5154759	6	pypolca	3281443	94	0
4x	True	5147086	2	pypolca	3281441	94	0
14x	True	5147090	2	pypolca	3281443	94	0
25x	True	5148406	3	pypolca	3281443	94	0
9x	True	5147089	2	pypolca	3281442	94	0
28x	True	5147091	2	pypolca	3281443	94	0
42x	True	5151979	6	pypolca	3281443	94	0
34x	True	5148266	3	pypolca	3281443	94	0
13x	True	5147090	2	pypolca	3281443	94	0
30x	True	5147091	2	pypolca	3281443	94	0
18x	True	5147091	2	pypolca	3281443	94	0
38x	True	5147091	2	pypolca	3281443	94	0
43x	True	5148302	3	pypolca	3281443	94	0
8x	True	5147091	2	pypolca	3281443	94	0
17x	True	5147091	2	pypolca	3281443	94	0
10x	True	5147089	2	pypolca	3281441	94	0
16x	True	5147090	2	pypolca	3281442	94	0
41x	True	5149817	5	pypolca	3281443	94	0
33x	True	5147091	2	pypolca	3281443	94	0
32x	True	5147828	3	pypolca	3281443	94	0
15x	True	5147091	2	pypolca	3281443	94	0
35x	True	5148773	4	pypolca	3281443	94	0
23x	True	5148964	3	pypolca	3281443	94	0
36x	True	5148671	3	pypolca	3281443	94	0
7x	True	5147089	2	pypolca	3281442	94	0
12x	True	5147090	2	pypolca	3281443	94	0
20x	True	5147090	2	pypolca	3281442	94	0
21x	True	5147091	2	pypolca	3281443	94	0
49x	True	5147854	3	pypolca	3281443	94	0
22x	True	5147091	2	pypolca	3281443	94	0
46x	True	5157766	7	pypolca	3281443	94	0
11x	True	5147090	2	pypolca	3281443	94	0
1x	True	5147086	2	pypolca	3281441	94	0
19x	True	5147091	2	pypolca	3281443	94	0
5x	True	5147088	2	pypolca	3281442	94	0
6x	True	5147086	2	pre_polish	3281441	94	0
2x	True	5147086	2	pypolca	3281441	94	0
3x	True	5147086	2	pypolca	3281441	94	0
39x	True	5148126	3	pypolca	3281443	94	0
24x	True	5149269	4	pypolca	3281443	94	0
45x	True	5148336	4	pypolca	3281443	94	0
26x	True	5147091	2	pypolca	3281443	94	0
50x	True	5150673	6	pypolca	3281443	94	0
37x	True	5147944	3	pypolca	3281443	94	0
31x	True	5148640	3	pypolca	3281443	94	0
29x	True	5150657	3	pypolca	3281443	94	0
27x	True	5148427	3	pypolca	3281443	94	0
