Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	5209983	5	pre_polish	5132218	82	4
40x	True	5209985	5	pypolca	5132220	82	4
48x	True	5209851	5	pre_polish	5132218	82	4
47x	True	5209851	5	pre_polish	5132218	82	4
4x	True	5209851	5	pypolca	5132218	82	4
14x	True	5209852	5	pypolca	5132219	82	4
25x	True	5209430	7	pre_polish	5131875	82	2
9x	True	5209508	5	pypolca	5131875	82	4
28x	True	5209640	5	pre_polish	5131875	82	4
42x	True	5209851	5	pre_polish	5132218	82	4
34x	True	5209508	5	pre_polish	5131875	82	4
13x	True	5209851	5	pre_polish	5132218	82	4
30x	True	5209985	5	pypolca	5132220	82	4
18x	True	5209508	5	pre_polish	5131875	82	4
38x	True	5209983	5	pre_polish	5132218	82	4
43x	True	5209983	5	pre_polish	5132218	82	4
8x	True	5209508	5	pre_polish	5131875	82	4
17x	True	5209983	5	pre_polish	5132218	82	4
10x	True	5209994	5	pypolca	5132220	82	4
16x	True	5209834	5	pre_polish	5132218	82	3
41x	True	5209983	5	pre_polish	5132218	82	4
33x	True	5209983	5	pre_polish	5132218	82	4
32x	True	5209640	5	pre_polish	5131875	82	4
15x	True	5209851	5	pre_polish	5132218	82	4
35x	True	5209640	5	pre_polish	5131875	82	4
23x	True	5209851	5	pre_polish	5132218	82	4
36x	True	5209983	5	pre_polish	5132218	82	4
7x	True	5209983	5	pre_polish	5132218	82	4
12x	True	5209508	5	pre_polish	5131875	82	4
20x	True	5209851	5	pre_polish	5132218	82	4
21x	True	5209430	7	pre_polish	5131875	82	2
49x	True	5209983	5	pre_polish	5132218	82	4
22x	True	5209851	5	pre_polish	5132218	82	4
46x	True	5209983	5	pre_polish	5132218	82	4
11x	True	5209852	5	pypolca	5132219	82	4
1x	True	5209867	5	pypolca	5132218	82	3
19x	True	5209872	5	pre_polish	5132218	82	3
5x	True	5209851	5	pre_polish	5132218	82	4
6x	True	5209852	5	pypolca	5132219	82	4
2x	True	5263407	8	pre_polish	5132218	82	5
3x	True	5213165	6	pre_polish	5132218	82	4
39x	True	5209983	5	pre_polish	5132218	82	4
24x	True	5209851	5	pre_polish	5132218	82	4
45x	True	5209640	5	pre_polish	5131875	82	4
26x	True	5209983	5	pre_polish	5132218	82	4
50x	True	5209640	5	pre_polish	5131875	82	4
37x	True	5209640	5	pre_polish	5131875	82	4
31x	True	5209983	5	pre_polish	5132218	82	4
29x	True	5209983	5	pre_polish	5132218	82	4
27x	True	5209983	5	pre_polish	5132218	82	4
