Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	1777671	3	pypolca	1768448	83	0
40x	True	1769417	2	pypolca	1768447	83	0
48x	True	1768448	1	pypolca	1768448	83	0
47x	True	1768448	1	pypolca	1768448	83	0
4x	True	1768447	1	pypolca	1768447	83	0
14x	True	1768447	1	pypolca	1768447	83	0
25x	True	1768448	1	pypolca	1768448	83	0
9x	True	1768447	1	pypolca	1768447	83	0
28x	True	1768448	1	pypolca	1768448	83	0
42x	True	1771060	3	pypolca	1768448	83	1
34x	True	1768448	1	pypolca	1768448	83	0
13x	True	1768448	1	pypolca	1768448	83	0
30x	True	1770470	2	pypolca	1768448	83	0
18x	True	1768449	1	pypolca	1768449	83	0
38x	True	1769756	3	pypolca	1768448	83	0
43x	True	1770278	2	pypolca	1768448	83	0
8x	True	1768448	1	pypolca	1768448	83	0
17x	True	1768448	1	pypolca	1768448	83	0
10x	True	1768446	1	pypolca	1768446	83	0
16x	True	1768446	1	pypolca	1768446	83	0
41x	True	1773005	3	pypolca	1768448	83	0
33x	True	1768448	1	pypolca	1768448	83	0
32x	True	1768448	1	pypolca	1768448	83	0
15x	True	1768448	1	pypolca	1768448	83	0
35x	True	1768448	1	pypolca	1768448	83	0
23x	True	1768448	1	pypolca	1768448	83	0
36x	True	1768449	1	pypolca	1768449	83	0
7x	True	1768446	1	pypolca	1768446	83	0
12x	True	1768448	1	pypolca	1768448	83	0
20x	True	1768448	1	pypolca	1768448	83	0
21x	True	1769015	2	pre_polish	1768446	83	0
49x	True	1774377	3	pypolca	1768448	83	0
22x	True	1768448	1	pypolca	1768448	83	0
46x	True	1768448	1	pypolca	1768448	83	0
11x	True	1768448	1	pypolca	1768448	83	0
1x	True	1768446	1	pypolca	1768446	83	0
19x	True	1768445	1	pypolca	1768445	83	0
5x	True	1768446	1	pypolca	1768446	83	0
6x	True	1768446	1	pypolca	1768446	83	0
2x	True	1768446	1	pypolca	1768446	83	0
3x	True	1768447	1	pypolca	1768447	83	0
39x	True	1771217	3	pypolca	1768448	83	0
24x	True	1770448	2	pypolca	1768448	83	0
45x	True	1771179	2	pypolca	1768448	83	0
26x	True	1768448	1	pypolca	1768448	83	0
50x	True	1775078	3	pypolca	1768448	83	0
37x	True	1768448	1	pypolca	1768448	83	0
31x	True	1769758	2	pypolca	1768448	83	0
29x	True	1768448	1	pypolca	1768448	83	0
27x	True	1768448	1	pypolca	1768448	83	0
