Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	1526645	18	pypolca	1513367	91	0
40x	True	1532052	22	pypolca	1513368	91	0
48x	True	1526801	15	pypolca	1513368	91	1
47x	True	1536756	32	pypolca	1513368	91	0
4x	True	1513386	1	pre_polish	1513386	91	0
14x	True	1513363	1	pypolca	1513363	91	0
25x	True	1521553	17	pypolca	1513366	91	0
9x	True	1513368	1	pypolca	1513368	91	0
28x	True	1523426	14	pypolca	1513367	91	0
42x	True	1528697	24	pypolca	1513368	91	0
34x	True	1524948	17	pypolca	1513368	91	0
13x	True	1513363	1	pypolca	1513363	91	0
30x	True	1518710	8	pypolca	1513368	91	0
18x	True	1513367	1	pypolca	1513367	91	0
38x	True	1527800	17	pypolca	1513367	91	0
43x	True	1529313	25	pypolca	1513368	91	0
8x	True	1513364	1	pypolca	1513364	91	0
17x	True	1515761	2	pypolca	1513362	91	0
10x	True	1513363	1	pypolca	1513363	91	0
16x	True	1513361	1	pypolca	1513361	91	0
41x	True	1530232	23	pypolca	1513368	91	0
33x	True	1529024	21	pypolca	1513368	91	0
32x	True	1528762	23	pypolca	1513367	91	0
15x	True	1513386	1	pre_polish	1513386	91	0
35x	True	1531979	21	polypolish	1513361	91	0
23x	True	1518989	7	pypolca	1513368	91	0
36x	True	1535022	22	pypolca	1513364	91	0
7x	True	1513371	1	pypolca	1513371	91	0
12x	True	1513362	1	pypolca	1513362	91	0
20x	True	1515589	3	pypolca	1513369	91	0
21x	True	1514405	2	pypolca	1513366	91	0
49x	True	1536246	29	pypolca	1513367	91	0
22x	True	1523003	10	pypolca	1513367	91	0
46x	True	1528575	18	pypolca	1513367	91	0
11x	True	1514264	2	pypolca	1513362	91	0
1x	True	1513386	1	pre_polish	1513386	91	0
19x	True	1514369	2	pre_polish	1513363	91	0
5x	True	1513362	1	pypolca	1513362	91	0
6x	True	1513366	1	pypolca	1513366	91	0
2x	True	1513383	1	pypolca	1513383	91	0
3x	True	1513385	1	pypolca	1513385	91	0
39x	True	1524306	17	pypolca	1513368	91	0
24x	True	1518610	9	pypolca	1513366	91	0
45x	True	1531372	24	pypolca	1513368	91	0
26x	True	1523682	15	pypolca	1513367	91	1
50x	True	1533736	19	pypolca	1513368	91	0
37x	True	1526352	20	pypolca	1513368	91	0
31x	True	1523419	14	pypolca	1513368	91	0
29x	True	1521370	11	pypolca	1513368	91	0
27x	True	1522816	19	pypolca	1513368	91	0
