Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	2830170	27	pypolca	2810181	96	0
40x	True	2833074	28	pypolca	2810181	96	0
48x	True	2835464	39	pypolca	2810181	96	0
47x	True	2836265	47	pypolca	2810181	96	0
4x	True	2810180	1	pre_polish	2810180	96	0
14x	True	2813842	8	pre_polish	2810180	96	0
25x	True	2824051	18	pypolca	2810181	96	0
9x	True	2814137	1	pypolca	2814137	95	0
28x	True	2814367	2	pypolca	2814137	95	0
42x	True	2839425	32	pypolca	2810181	96	0
34x	True	2814899	2	pypolca	2814137	95	0
13x	True	2821825	18	pre_polish	2810180	96	1
30x	True	2827537	25	pypolca	2810181	96	0
18x	True	2815663	3	pypolca	2810181	96	0
38x	True	2826098	24	pypolca	2810181	96	0
43x	True	2827720	30	pypolca	2810181	96	0
8x	True	2813942	2	pypolca	2810181	96	0
17x	True	2816864	17	pypolca	2810181	96	0
10x	True	2814291	2	pre_polish	2810180	96	0
16x	True	2816223	3	pypolca	2814137	95	0
41x	True	2841027	38	pypolca	2810181	96	0
33x	True	2814137	1	pypolca	2814137	95	0
32x	True	2814984	3	pypolca	2814137	95	0
15x	True	2820745	14	pre_polish	2810180	96	0
35x	True	2814262	2	pypolca	2814137	95	0
23x	True	2826788	25	polypolish	2810180	96	0
36x	True	2835522	34	pypolca	2810181	96	0
7x	True	2813981	3	pre_polish	2810180	96	0
12x	True	2818601	6	pypolca	2814137	95	0
20x	True	2825472	23	pypolca	2810181	96	0
21x	True	2814981	2	polypolish	2814137	95	0
49x	True	2814793	3	pypolca	2814137	95	0
22x	True	2814145	2	pypolca	2810181	96	0
46x	True	2839996	36	pypolca	2810181	96	0
11x	True	2814107	3	pypolca	2810181	96	0
1x	True	2811033	2	pre_polish	2810180	96	0
19x	True	2832906	29	polypolish	2810181	96	1
5x	True	2813250	3	pypolca	2810180	96	0
6x	True	2816916	3	pypolca	2810180	96	0
2x	True	2816588	3	pre_polish	2814136	95	0
3x	True	2814136	1	pypolca	2814136	95	0
39x	True	2837517	40	pypolca	2810181	96	0
24x	True	2821723	17	pypolca	2810181	96	0
45x	True	2836285	39	polypolish	2810181	96	0
26x	True	2828875	23	pypolca	2810181	96	0
50x	True	2841119	32	pypolca	2810181	96	0
37x	True	2814485	2	pypolca	2814137	95	0
31x	True	2827193	21	pre_polish	2810180	96	0
29x	True	2826875	21	pypolca	2810181	96	0
27x	True	2814599	2	pypolca	2814137	95	0
