Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	2945199	2	pre_polish	2944527	93	0
40x	True	2945030	2	pypolca	2944530	93	0
48x	True	2944527	1	pre_polish	2944527	93	0
47x	True	2944530	1	pypolca	2944530	93	0
4x	True	2944527	1	pre_polish	2944527	93	0
14x	True	2944527	1	pre_polish	2944527	93	0
25x	True	2946396	2	pre_polish	2944527	92	1
9x	True	2944337	2	pypolca	2940347	90	0
28x	True	2944530	1	pypolca	2944530	93	0
42x	True	2944530	1	pypolca	2944530	93	0
34x	True	2944530	1	pypolca	2944530	92	0
13x	True	2944530	1	pypolca	2944530	93	0
30x	True	2944530	1	pypolca	2944530	92	0
18x	True	2944530	1	pypolca	2944530	92	0
38x	True	2944530	1	pypolca	2944530	93	0
43x	True	2947892	2	pypolca	2944530	92	0
8x	True	2944530	1	pypolca	2944530	93	0
17x	True	2944530	1	pypolca	2944530	93	0
10x	True	2944530	1	pypolca	2944530	92	0
16x	True	2944530	1	pypolca	2944530	93	0
41x	True	2944530	1	pypolca	2944530	92	0
33x	True	2944530	1	pypolca	2944530	92	0
32x	True	2946486	2	pre_polish	2944527	92	1
15x	True	2944527	1	pre_polish	2944527	93	0
35x	True	2946188	2	pypolca	2944530	93	0
23x	True	2944530	1	pypolca	2944530	93	0
36x	True	2944527	1	pre_polish	2944527	93	0
7x	True	2944527	1	pre_polish	2944527	92	0
12x	True	2944527	1	pre_polish	2944527	93	0
20x	True	2944530	1	pypolca	2944530	92	0
21x	True	2944530	1	pypolca	2944530	92	0
49x	True	2944530	1	pypolca	2944530	92	0
22x	True	2946371	2	pypolca	2944530	92	0
46x	True	2946399	2	pypolca	2944530	93	1
11x	True	2946596	2	pypolca	2944530	93	0
1x	True	2944527	1	pypolca	2944527	92	0
19x	True	2944530	1	pypolca	2944530	93	0
5x	True	2944527	1	pre_polish	2944527	93	0
6x	True	2944530	1	pypolca	2944530	92	0
2x	True	2944527	1	pre_polish	2944527	93	0
3x	True	2944527	1	pre_polish	2944527	92	0
39x	True	2945811	2	pypolca	2944530	93	0
24x	True	2944530	1	pypolca	2944530	93	0
45x	True	2948890	3	pypolca	2944530	93	0
26x	True	2944527	1	pre_polish	2944527	93	0
50x	True	2944530	1	pypolca	2944530	93	0
37x	True	2944530	1	pypolca	2944530	93	0
31x	True	2944530	1	pypolca	2944530	93	0
29x	True	2944530	1	pypolca	2944530	92	0
27x	True	2944530	1	pypolca	2944530	93	0
