genome	target_illumina_depth	polishing	remaining_errors
ATCC_10708_Salmonella_enterica	1	hybracter	13
ATCC_19119_Listeria_ivanovii	1	hybracter	6
ATCC_25922_Escherichia_coli	1	hybracter	2
ATCC_33560_Campylobacter_jejuni	1	hybracter	15
ATCC_35221_Campylobacter_lari	1	hybracter	49
ATCC_35897_Listeria_welshimeri	1	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	1	hybracter	3
ATCC_10708_Salmonella_enterica	2	hybracter	13
ATCC_19119_Listeria_ivanovii	2	hybracter	7
ATCC_25922_Escherichia_coli	2	hybracter	2
ATCC_33560_Campylobacter_jejuni	2	hybracter	13
ATCC_35221_Campylobacter_lari	2	hybracter	43
ATCC_35897_Listeria_welshimeri	2	hybracter	1
ATCC_BAA-679_Listeria_monocytogenes	2	hybracter	3
ATCC_10708_Salmonella_enterica	3	hybracter	11
ATCC_19119_Listeria_ivanovii	3	hybracter	7
ATCC_25922_Escherichia_coli	3	hybracter	2
ATCC_33560_Campylobacter_jejuni	3	hybracter	11
ATCC_35221_Campylobacter_lari	3	hybracter	46
ATCC_35897_Listeria_welshimeri	3	hybracter	1
ATCC_BAA-679_Listeria_monocytogenes	3	hybracter	3
ATCC_10708_Salmonella_enterica	4	hybracter	8
ATCC_19119_Listeria_ivanovii	4	hybracter	7
ATCC_25922_Escherichia_coli	4	hybracter	2
ATCC_33560_Campylobacter_jejuni	4	hybracter	9
ATCC_35221_Campylobacter_lari	4	hybracter	49
ATCC_35897_Listeria_welshimeri	4	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	4	hybracter	3
ATCC_10708_Salmonella_enterica	5	hybracter	10
ATCC_19119_Listeria_ivanovii	5	hybracter	7
ATCC_25922_Escherichia_coli	5	hybracter	2
ATCC_33560_Campylobacter_jejuni	5	hybracter	10
ATCC_35221_Campylobacter_lari	5	hybracter	16
ATCC_35897_Listeria_welshimeri	5	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	5	hybracter	3
ATCC_10708_Salmonella_enterica	6	hybracter	13
ATCC_19119_Listeria_ivanovii	6	hybracter	7
ATCC_25922_Escherichia_coli	6	hybracter	2
ATCC_33560_Campylobacter_jejuni	6	hybracter	5
ATCC_35221_Campylobacter_lari	6	hybracter	16
ATCC_35897_Listeria_welshimeri	6	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	6	hybracter	0
ATCC_10708_Salmonella_enterica	7	hybracter	12
ATCC_19119_Listeria_ivanovii	7	hybracter	6
ATCC_25922_Escherichia_coli	7	hybracter	2
ATCC_33560_Campylobacter_jejuni	7	hybracter	4
ATCC_35221_Campylobacter_lari	7	hybracter	23
ATCC_35897_Listeria_welshimeri	7	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	7	hybracter	3
ATCC_10708_Salmonella_enterica	8	hybracter	8
ATCC_19119_Listeria_ivanovii	8	hybracter	5
ATCC_25922_Escherichia_coli	8	hybracter	345
ATCC_33560_Campylobacter_jejuni	8	hybracter	5
ATCC_35221_Campylobacter_lari	8	hybracter	12
ATCC_35897_Listeria_welshimeri	8	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	8	hybracter	0
ATCC_10708_Salmonella_enterica	9	hybracter	6
ATCC_19119_Listeria_ivanovii	9	hybracter	7
ATCC_25922_Escherichia_coli	9	hybracter	345
ATCC_33560_Campylobacter_jejuni	9	hybracter	3
ATCC_35221_Campylobacter_lari	9	hybracter	11
ATCC_35897_Listeria_welshimeri	9	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	9	hybracter	4183
ATCC_10708_Salmonella_enterica	10	hybracter	3
ATCC_19119_Listeria_ivanovii	10	hybracter	7
ATCC_25922_Escherichia_coli	10	hybracter	0
ATCC_33560_Campylobacter_jejuni	10	hybracter	2
ATCC_35221_Campylobacter_lari	10	hybracter	9
ATCC_35897_Listeria_welshimeri	10	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	10	hybracter	0
ATCC_10708_Salmonella_enterica	11	hybracter	3
ATCC_19119_Listeria_ivanovii	11	hybracter	5
ATCC_25922_Escherichia_coli	11	hybracter	1
ATCC_33560_Campylobacter_jejuni	11	hybracter	0
ATCC_35221_Campylobacter_lari	11	hybracter	9
ATCC_35897_Listeria_welshimeri	11	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	11	hybracter	0
ATCC_10708_Salmonella_enterica	12	hybracter	12
ATCC_19119_Listeria_ivanovii	12	hybracter	4
ATCC_25922_Escherichia_coli	12	hybracter	345
ATCC_33560_Campylobacter_jejuni	12	hybracter	1
ATCC_35221_Campylobacter_lari	12	hybracter	7
ATCC_35897_Listeria_welshimeri	12	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	12	hybracter	3
ATCC_10708_Salmonella_enterica	13	hybracter	4
ATCC_19119_Listeria_ivanovii	13	hybracter	7
ATCC_25922_Escherichia_coli	13	hybracter	2
ATCC_33560_Campylobacter_jejuni	13	hybracter	2
ATCC_35221_Campylobacter_lari	13	hybracter	5
ATCC_35897_Listeria_welshimeri	13	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	13	hybracter	0
ATCC_10708_Salmonella_enterica	14	hybracter	2
ATCC_19119_Listeria_ivanovii	14	hybracter	2
ATCC_25922_Escherichia_coli	14	hybracter	2
ATCC_33560_Campylobacter_jejuni	14	hybracter	1
ATCC_35221_Campylobacter_lari	14	hybracter	5
ATCC_35897_Listeria_welshimeri	14	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	14	hybracter	3
ATCC_10708_Salmonella_enterica	15	hybracter	1
ATCC_19119_Listeria_ivanovii	15	hybracter	0
ATCC_25922_Escherichia_coli	15	hybracter	2
ATCC_33560_Campylobacter_jejuni	15	hybracter	0
ATCC_35221_Campylobacter_lari	15	hybracter	49
ATCC_35897_Listeria_welshimeri	15	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	15	hybracter	3
ATCC_10708_Salmonella_enterica	16	hybracter	13
ATCC_19119_Listeria_ivanovii	16	hybracter	7
ATCC_25922_Escherichia_coli	16	hybracter	2
ATCC_33560_Campylobacter_jejuni	16	hybracter	2
ATCC_35221_Campylobacter_lari	16	hybracter	7
ATCC_35897_Listeria_welshimeri	16	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	16	hybracter	0
ATCC_10708_Salmonella_enterica	17	hybracter	12
ATCC_19119_Listeria_ivanovii	17	hybracter	3
ATCC_25922_Escherichia_coli	17	hybracter	2
ATCC_33560_Campylobacter_jejuni	17	hybracter	0
ATCC_35221_Campylobacter_lari	17	hybracter	6
ATCC_35897_Listeria_welshimeri	17	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	17	hybracter	0
ATCC_10708_Salmonella_enterica	18	hybracter	1
ATCC_19119_Listeria_ivanovii	18	hybracter	7
ATCC_25922_Escherichia_coli	18	hybracter	345
ATCC_33560_Campylobacter_jejuni	18	hybracter	1
ATCC_35221_Campylobacter_lari	18	hybracter	1
ATCC_35897_Listeria_welshimeri	18	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	18	hybracter	0
ATCC_10708_Salmonella_enterica	19	hybracter	0
ATCC_19119_Listeria_ivanovii	19	hybracter	1
ATCC_25922_Escherichia_coli	19	hybracter	2
ATCC_33560_Campylobacter_jejuni	19	hybracter	3
ATCC_35221_Campylobacter_lari	19	hybracter	26
ATCC_35897_Listeria_welshimeri	19	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	19	hybracter	0
ATCC_10708_Salmonella_enterica	20	hybracter	2
ATCC_19119_Listeria_ivanovii	20	hybracter	7
ATCC_25922_Escherichia_coli	20	hybracter	2
ATCC_33560_Campylobacter_jejuni	20	hybracter	0
ATCC_35221_Campylobacter_lari	20	hybracter	1
ATCC_35897_Listeria_welshimeri	20	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	20	hybracter	0
ATCC_10708_Salmonella_enterica	21	hybracter	0
ATCC_19119_Listeria_ivanovii	21	hybracter	7
ATCC_25922_Escherichia_coli	21	hybracter	345
ATCC_33560_Campylobacter_jejuni	21	hybracter	14
ATCC_35221_Campylobacter_lari	21	hybracter	2
ATCC_35897_Listeria_welshimeri	21	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	21	hybracter	0
ATCC_10708_Salmonella_enterica	22	hybracter	1
ATCC_19119_Listeria_ivanovii	22	hybracter	6
ATCC_25922_Escherichia_coli	22	hybracter	2
ATCC_33560_Campylobacter_jejuni	22	hybracter	0
ATCC_35221_Campylobacter_lari	22	hybracter	1
ATCC_35897_Listeria_welshimeri	22	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	22	hybracter	0
ATCC_10708_Salmonella_enterica	23	hybracter	1
ATCC_19119_Listeria_ivanovii	23	hybracter	7
ATCC_25922_Escherichia_coli	23	hybracter	2
ATCC_33560_Campylobacter_jejuni	23	hybracter	2
ATCC_35221_Campylobacter_lari	23	hybracter	0
ATCC_35897_Listeria_welshimeri	23	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	23	hybracter	0
ATCC_10708_Salmonella_enterica	24	hybracter	1
ATCC_19119_Listeria_ivanovii	24	hybracter	0
ATCC_25922_Escherichia_coli	24	hybracter	2
ATCC_33560_Campylobacter_jejuni	24	hybracter	0
ATCC_35221_Campylobacter_lari	24	hybracter	2
ATCC_35897_Listeria_welshimeri	24	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	24	hybracter	0
ATCC_10708_Salmonella_enterica	25	hybracter	2
ATCC_19119_Listeria_ivanovii	25	hybracter	0
ATCC_25922_Escherichia_coli	25	hybracter	345
ATCC_33560_Campylobacter_jejuni	25	hybracter	0
ATCC_35221_Campylobacter_lari	25	hybracter	2
ATCC_35897_Listeria_welshimeri	25	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	25	hybracter	3
ATCC_10708_Salmonella_enterica	26	hybracter	1
ATCC_19119_Listeria_ivanovii	26	hybracter	0
ATCC_25922_Escherichia_coli	26	hybracter	2
ATCC_33560_Campylobacter_jejuni	26	hybracter	0
ATCC_35221_Campylobacter_lari	26	hybracter	1
ATCC_35897_Listeria_welshimeri	26	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	26	hybracter	3
ATCC_10708_Salmonella_enterica	27	hybracter	1
ATCC_19119_Listeria_ivanovii	27	hybracter	7
ATCC_25922_Escherichia_coli	27	hybracter	2
ATCC_33560_Campylobacter_jejuni	27	hybracter	0
ATCC_35221_Campylobacter_lari	27	hybracter	0
ATCC_35897_Listeria_welshimeri	27	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	27	hybracter	0
ATCC_10708_Salmonella_enterica	28	hybracter	2
ATCC_19119_Listeria_ivanovii	28	hybracter	0
ATCC_25922_Escherichia_coli	28	hybracter	345
ATCC_33560_Campylobacter_jejuni	28	hybracter	0
ATCC_35221_Campylobacter_lari	28	hybracter	1
ATCC_35897_Listeria_welshimeri	28	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	28	hybracter	0
ATCC_10708_Salmonella_enterica	29	hybracter	13
ATCC_19119_Listeria_ivanovii	29	hybracter	0
ATCC_25922_Escherichia_coli	29	hybracter	2
ATCC_33560_Campylobacter_jejuni	29	hybracter	0
ATCC_35221_Campylobacter_lari	29	hybracter	0
ATCC_35897_Listeria_welshimeri	29	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	29	hybracter	0
ATCC_10708_Salmonella_enterica	30	hybracter	2
ATCC_19119_Listeria_ivanovii	30	hybracter	7
ATCC_25922_Escherichia_coli	30	hybracter	0
ATCC_33560_Campylobacter_jejuni	30	hybracter	0
ATCC_35221_Campylobacter_lari	30	hybracter	0
ATCC_35897_Listeria_welshimeri	30	hybracter	3956
ATCC_BAA-679_Listeria_monocytogenes	30	hybracter	0
ATCC_10708_Salmonella_enterica	31	hybracter	1
ATCC_19119_Listeria_ivanovii	31	hybracter	7
ATCC_25922_Escherichia_coli	31	hybracter	2
ATCC_33560_Campylobacter_jejuni	31	hybracter	0
ATCC_35221_Campylobacter_lari	31	hybracter	0
ATCC_35897_Listeria_welshimeri	31	hybracter	3957
ATCC_BAA-679_Listeria_monocytogenes	31	hybracter	0
ATCC_10708_Salmonella_enterica	32	hybracter	13
ATCC_19119_Listeria_ivanovii	32	hybracter	7
ATCC_25922_Escherichia_coli	32	hybracter	345
ATCC_33560_Campylobacter_jejuni	32	hybracter	0
ATCC_35221_Campylobacter_lari	32	hybracter	1
ATCC_35897_Listeria_welshimeri	32	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	32	hybracter	3
ATCC_10708_Salmonella_enterica	33	hybracter	2
ATCC_19119_Listeria_ivanovii	33	hybracter	7
ATCC_25922_Escherichia_coli	33	hybracter	2
ATCC_33560_Campylobacter_jejuni	33	hybracter	0
ATCC_35221_Campylobacter_lari	33	hybracter	0
ATCC_35897_Listeria_welshimeri	33	hybracter	0
ATCC_BAA-679_Listeria_monocytogenes	33	hybracter	0
