len	platform	base	count
10	illumina	c	0
10	illumina	g	0
10	ont	c	14
10	ont	g	2
11	illumina	c	0
11	illumina	g	0
11	ont	c	20
11	ont	g	3
12	illumina	c	0
12	illumina	g	0
12	ont	c	15
12	ont	g	14
13	illumina	c	0
13	illumina	g	0
13	ont	c	28
13	ont	g	18
14	illumina	c	0
14	illumina	g	0
14	ont	c	57
14	ont	g	50
15	illumina	c	0
15	illumina	g	0
15	ont	c	105
15	ont	g	85
16	illumina	c	0
16	illumina	g	0
16	ont	c	178
16	ont	g	162
17	illumina	c	0
17	illumina	g	0
17	ont	c	237
17	ont	g	220
18	illumina	c	0
18	illumina	g	3
18	ont	c	298
18	ont	g	243
19	illumina	c	0
19	illumina	g	3
19	ont	c	295
19	ont	g	240
20	illumina	c	0
20	illumina	g	9
20	ont	c	282
20	ont	g	261
21	illumina	c	0
21	illumina	g	15
21	ont	c	195
21	ont	g	202
22	illumina	c	0
22	illumina	g	2
22	ont	c	120
22	ont	g	153
23	illumina	c	0
23	illumina	g	0
23	ont	c	64
23	ont	g	81
24	illumina	c	0
24	illumina	g	0
24	ont	c	41
24	ont	g	56
25	illumina	c	0
25	illumina	g	0
25	ont	c	17
25	ont	g	30
26	illumina	c	0
26	illumina	g	0
26	ont	c	11
26	ont	g	14
27	illumina	c	0
27	illumina	g	0
27	ont	c	8
27	ont	g	11
28	illumina	c	0
28	illumina	g	0
28	ont	c	2
28	ont	g	7
29	illumina	c	0
29	illumina	g	0
29	ont	c	1
29	ont	g	3
30	illumina	c	0
30	illumina	g	0
30	ont	c	2
30	ont	g	3
