genome	target_illumina_depth	polishing	remaining_errors
ATCC_10708_Salmonella_enterica	00.1	Polypolish	4132
ATCC_10708_Salmonella_enterica	00.1	Polypolish-careful	4132
ATCC_10708_Salmonella_enterica	00.1	pypolca	4127
ATCC_10708_Salmonella_enterica	00.1	pypolca-careful	4131
ATCC_10708_Salmonella_enterica	00.1	HyPo	4132
ATCC_10708_Salmonella_enterica	00.1	FMLRC2	4132
ATCC_10708_Salmonella_enterica	00.1	NextPolish	4686
ATCC_10708_Salmonella_enterica	00.1	Pilon	4132
ATCC_14035_Vibrio_cholerae	00.1	Polypolish	4664
ATCC_14035_Vibrio_cholerae	00.1	Polypolish-careful	4664
ATCC_14035_Vibrio_cholerae	00.1	pypolca	4659
ATCC_14035_Vibrio_cholerae	00.1	pypolca-careful	4662
ATCC_14035_Vibrio_cholerae	00.1	HyPo	4663
ATCC_14035_Vibrio_cholerae	00.1	FMLRC2	4664
ATCC_14035_Vibrio_cholerae	00.1	NextPolish	5674
ATCC_14035_Vibrio_cholerae	00.1	Pilon	4664
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish	4202
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish-careful	4202
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca	4197
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca-careful	4201
ATCC_17802_Vibrio_parahaemolyticus	00.1	HyPo	4201
ATCC_17802_Vibrio_parahaemolyticus	00.1	FMLRC2	4202
ATCC_17802_Vibrio_parahaemolyticus	00.1	NextPolish	5012
ATCC_17802_Vibrio_parahaemolyticus	00.1	Pilon	4202
ATCC_19119_Listeria_ivanovii	00.1	Polypolish	936
ATCC_19119_Listeria_ivanovii	00.1	Polypolish-careful	936
ATCC_19119_Listeria_ivanovii	00.1	pypolca	935
ATCC_19119_Listeria_ivanovii	00.1	pypolca-careful	935
ATCC_19119_Listeria_ivanovii	00.1	HyPo	936
ATCC_19119_Listeria_ivanovii	00.1	FMLRC2	936
ATCC_19119_Listeria_ivanovii	00.1	NextPolish	1231
ATCC_19119_Listeria_ivanovii	00.1	Pilon	936
ATCC_25922_Escherichia_coli	00.1	Polypolish	5510
ATCC_25922_Escherichia_coli	00.1	Polypolish-careful	5510
ATCC_25922_Escherichia_coli	00.1	pypolca	5507
ATCC_25922_Escherichia_coli	00.1	pypolca-careful	5510
ATCC_25922_Escherichia_coli	00.1	HyPo	5508
ATCC_25922_Escherichia_coli	00.1	FMLRC2	5517
ATCC_25922_Escherichia_coli	00.1	NextPolish	6365
ATCC_25922_Escherichia_coli	00.1	Pilon	5510
ATCC_33560_Campylobacter_jejuni	00.1	Polypolish	2538
ATCC_33560_Campylobacter_jejuni	00.1	Polypolish-careful	2538
ATCC_33560_Campylobacter_jejuni	00.1	pypolca	2533
ATCC_33560_Campylobacter_jejuni	00.1	pypolca-careful	2536
ATCC_33560_Campylobacter_jejuni	00.1	HyPo	2538
ATCC_33560_Campylobacter_jejuni	00.1	FMLRC2	2538
ATCC_33560_Campylobacter_jejuni	00.1	NextPolish	2749
ATCC_33560_Campylobacter_jejuni	00.1	Pilon	2538
ATCC_35221_Campylobacter_lari	00.1	Polypolish	2739
ATCC_35221_Campylobacter_lari	00.1	Polypolish-careful	2739
ATCC_35221_Campylobacter_lari	00.1	pypolca	2734
ATCC_35221_Campylobacter_lari	00.1	pypolca-careful	2739
ATCC_35221_Campylobacter_lari	00.1	HyPo	2739
ATCC_35221_Campylobacter_lari	00.1	FMLRC2	2739
ATCC_35221_Campylobacter_lari	00.1	NextPolish	2900
ATCC_35221_Campylobacter_lari	00.1	Pilon	2739
ATCC_35897_Listeria_welshimeri	00.1	Polypolish	668
ATCC_35897_Listeria_welshimeri	00.1	Polypolish-careful	668
ATCC_35897_Listeria_welshimeri	00.1	pypolca	668
ATCC_35897_Listeria_welshimeri	00.1	pypolca-careful	668
ATCC_35897_Listeria_welshimeri	00.1	HyPo	668
ATCC_35897_Listeria_welshimeri	00.1	FMLRC2	668
ATCC_35897_Listeria_welshimeri	00.1	NextPolish	1313
ATCC_35897_Listeria_welshimeri	00.1	Pilon	668
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish	795
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish-careful	795
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca	798
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca-careful	795
ATCC_BAA-679_Listeria_monocytogenes	00.1	HyPo	795
ATCC_BAA-679_Listeria_monocytogenes	00.1	FMLRC2	795
ATCC_BAA-679_Listeria_monocytogenes	00.1	NextPolish	1379
ATCC_BAA-679_Listeria_monocytogenes	00.1	Pilon	795
ATCC_10708_Salmonella_enterica	00.2	Polypolish	4132
