"","genome","depth","Polypolish","Polypolish-careful","pypolca","pypolca-careful","HyPo","FMLRC2","NextPolish","Pilon","Polypolish+pypolca","Polypolish-careful+pypolca-careful","Polypolish-careful+pypolca","Polypolish+pypolca-careful","pypolca+Polypolish","pypolca-careful+Polypolish-careful","pypolca+Polypolish-careful","pypolca-careful+Polypolish","Hapo-G","before_polish","Polypolish_overall_decreased_accuracy","Polypolish-careful_overall_decreased_accuracy","pypolca_overall_decreased_accuracy","pypolca-careful_overall_decreased_accuracy","HyPo_overall_decreased_accuracy","FMLRC2_overall_decreased_accuracy","NextPolish_overall_decreased_accuracy","Pilon_overall_decreased_accuracy","Hapo-G_overall_decreased_accuracy","Polypolish+pypolca_overall_decreased_accuracy","Polypolish-careful+pypolca-careful_overall_decreased_accuracy","Polypolish-careful+pypolca_overall_decreased_accuracy","Polypolish+pypolca-careful_overall_decreased_accuracy","pypolca+Polypolish_overall_decreased_accuracy","pypolca-careful+Polypolish-careful_overall_decreased_accuracy","pypolca-careful+Polypolish_overall_decreased_accuracy","pypolca+Polypolish-careful_overall_decreased_accuracy"
"1","ATCC_10708_Salmonella_enterica",0.1,3,3,3,3,3,3,798,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","ATCC_14035_Vibrio_cholerae",0.1,2,2,4,2,2,2,1291,2,4,2,4,2,4,2,4,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"3","ATCC_17802_Vibrio_parahaemolyticus",0.1,2,2,2,2,2,2,1058,2,2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","ATCC_19119_Listeria_ivanovii",0.1,5,5,5,5,5,5,338,5,5,5,5,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","ATCC_25922_Escherichia_coli",0.1,1,1,2,1,1,8,1159,1,2,1,2,1,2,1,2,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"6","ATCC_33560_Campylobacter_jejuni",0.1,5,5,5,5,5,5,375,5,5,5,5,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","ATCC_35221_Campylobacter_lari",0.1,18,18,18,18,18,18,319,18,18,18,18,18,18,18,18,18,18,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","ATCC_35897_Listeria_welshimeri",0.1,1,1,1,1,1,1,682,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","ATCC_BAA-679_Listeria_monocytogenes",0.1,0,0,3,0,0,0,626,0,3,0,3,0,3,0,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"10","ATCC_10708_Salmonella_enterica",0.2,3,3,9,3,5,6,1796,3,9,3,9,3,9,3,9,3,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
