tool	parameters	description	errors_05	errors_10	errors_15	errors_20	total_errors
FMLRC2	-k 21 59 -m 5 -f 0.1	defaults	1494	765	253	2	2514
FMLRC2	-k 21 59 80 -m 0 -f 0.1	eukaryote mode	18	18	5	4	45
FMLRC2	-k 20 61 76 -m 3 -f 0.0	random	3431	552	25	4	4012
FMLRC2	-k 19 79 -m 0 -f 0.1	mutated	18	18	5	4	45
FMLRC2	-k 87 -m 17 -f 0.04	random	135	467	75	535	1212
FMLRC2	-k 81 -m 0 -f 0.1	mutated	18	18	18	18	72
FMLRC2	-k 63 84 93 -m 32 -f 0.0	random	18	705	501	742	1966
FMLRC2	-k 21 77 -m 1 -f 0.1	mutated	1028	69	7	2	1106
FMLRC2	-k 30 59 91 -m 4 -f 0.95	random	420	393	144	286	1243
FMLRC2	-k 75 -m 13 -f 0.57	random	248	645	498	194	1585
FMLRC2	-k 20 79 -m 0 -f 0.07	mutated	18	18	18	4	58
FMLRC2	-k 24 33 -m 17 -f 0.33	random	394	533	841	455	2223
FMLRC2	-k 19 80 -m 0 -f 0.1	mutated	18	18	5	4	45
FMLRC2	-k 9 23 34 -m 12 -f 0.58	random	31374	28144	19576	10196	89290
FMLRC2	-k 60 -m 33 -f 0.14	random	18	705	85	94	902
FMLRC2	-k 80 -m 0 -f 0.05	random	18	18	18	18	72
FMLRC2	-k 36 58 96 -m 2 -f 0.01	random	203	23	3	0	229
FMLRC2	-k 19 -m 1 -f 0.08	mutated	2139	81	5	4	2229
FMLRC2	-k 35 -m 3 -f 0.03	random	204	18	4	1	227
FMLRC2	-k 19 81 -m 0 -f 0.1	mutated	18	18	5	4	45
FMLRC2	-k 23 86 -m 31 -f 0.5	random	189	404	696	971	2260
FMLRC2	-k 19 70 81 -m 0 -f 0.1	mutated	18	18	5	4	45
FMLRC2	-k 24 50 -m 0 -f 0.75	random	609	240	322	319	1490
FMLRC2	-k 69 81 -m 0 -f 0.1	mutated	18	18	18	18	72
