genome	target_illumina_depth	polishing	remaining_errors
ATCC_10708_Salmonella_enterica	00.1	Polypolish	3
ATCC_10708_Salmonella_enterica	00.1	Polypolish-careful	3
ATCC_10708_Salmonella_enterica	00.1	pypolca	3
ATCC_10708_Salmonella_enterica	00.1	pypolca-careful	3
ATCC_10708_Salmonella_enterica	00.1	HyPo	3
ATCC_10708_Salmonella_enterica	00.1	FMLRC2	3
ATCC_10708_Salmonella_enterica	00.1	NextPolish	798
ATCC_10708_Salmonella_enterica	00.1	Polypolish+pypolca	3
ATCC_10708_Salmonella_enterica	00.1	Polypolish-careful+pypolca-careful	3
ATCC_10708_Salmonella_enterica	00.1	Polypolish-careful+pypolca	3
ATCC_10708_Salmonella_enterica	00.1	Polypolish+pypolca-careful	3
ATCC_10708_Salmonella_enterica	00.1	pypolca+Polypolish	3
ATCC_10708_Salmonella_enterica	00.1	pypolca-careful+Polypolish-careful	3
ATCC_10708_Salmonella_enterica	00.1	pypolca+Polypolish-careful	3
ATCC_10708_Salmonella_enterica	00.1	pypolca-careful+Polypolish	3
ATCC_14035_Vibrio_cholerae	00.1	Polypolish	2
ATCC_14035_Vibrio_cholerae	00.1	Polypolish-careful	2
ATCC_14035_Vibrio_cholerae	00.1	pypolca	4
ATCC_14035_Vibrio_cholerae	00.1	pypolca-careful	2
ATCC_14035_Vibrio_cholerae	00.1	HyPo	2
ATCC_14035_Vibrio_cholerae	00.1	FMLRC2	2
ATCC_14035_Vibrio_cholerae	00.1	NextPolish	1291
ATCC_14035_Vibrio_cholerae	00.1	Polypolish+pypolca	4
ATCC_14035_Vibrio_cholerae	00.1	Polypolish-careful+pypolca-careful	2
ATCC_14035_Vibrio_cholerae	00.1	Polypolish-careful+pypolca	4
ATCC_14035_Vibrio_cholerae	00.1	Polypolish+pypolca-careful	2
ATCC_14035_Vibrio_cholerae	00.1	pypolca+Polypolish	4
ATCC_14035_Vibrio_cholerae	00.1	pypolca-careful+Polypolish-careful	2
ATCC_14035_Vibrio_cholerae	00.1	pypolca+Polypolish-careful	4
ATCC_14035_Vibrio_cholerae	00.1	pypolca-careful+Polypolish	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	HyPo	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	FMLRC2	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	NextPolish	1058
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish+pypolca	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish-careful+pypolca-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish-careful+pypolca	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	Polypolish+pypolca-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca+Polypolish	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca-careful+Polypolish-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca+Polypolish-careful	2
ATCC_17802_Vibrio_parahaemolyticus	00.1	pypolca-careful+Polypolish	2
ATCC_19119_Listeria_ivanovii	00.1	Polypolish	5
ATCC_19119_Listeria_ivanovii	00.1	Polypolish-careful	5
ATCC_19119_Listeria_ivanovii	00.1	pypolca	5
ATCC_19119_Listeria_ivanovii	00.1	pypolca-careful	5
ATCC_19119_Listeria_ivanovii	00.1	HyPo	5
ATCC_19119_Listeria_ivanovii	00.1	FMLRC2	5
ATCC_19119_Listeria_ivanovii	00.1	NextPolish	338
ATCC_19119_Listeria_ivanovii	00.1	Polypolish+pypolca	5
ATCC_19119_Listeria_ivanovii	00.1	Polypolish-careful+pypolca-careful	5
ATCC_19119_Listeria_ivanovii	00.1	Polypolish-careful+pypolca	5
ATCC_19119_Listeria_ivanovii	00.1	Polypolish+pypolca-careful	5
ATCC_19119_Listeria_ivanovii	00.1	pypolca+Polypolish	5
ATCC_19119_Listeria_ivanovii	00.1	pypolca-careful+Polypolish-careful	5
ATCC_19119_Listeria_ivanovii	00.1	pypolca+Polypolish-careful	5
ATCC_19119_Listeria_ivanovii	00.1	pypolca-careful+Polypolish	5
ATCC_25922_Escherichia_coli	00.1	Polypolish	1
ATCC_25922_Escherichia_coli	00.1	Polypolish-careful	1
ATCC_25922_Escherichia_coli	00.1	pypolca	2
ATCC_25922_Escherichia_coli	00.1	pypolca-careful	1
ATCC_25922_Escherichia_coli	00.1	HyPo	1
ATCC_25922_Escherichia_coli	00.1	FMLRC2	8
ATCC_25922_Escherichia_coli	00.1	NextPolish	1159
ATCC_25922_Escherichia_coli	00.1	Polypolish+pypolca	2
ATCC_25922_Escherichia_coli	00.1	Polypolish-careful+pypolca-careful	1
ATCC_25922_Escherichia_coli	00.1	Polypolish-careful+pypolca	2
ATCC_25922_Escherichia_coli	00.1	Polypolish+pypolca-careful	1
ATCC_25922_Escherichia_coli	00.1	pypolca+Polypolish	2
ATCC_25922_Escherichia_coli	00.1	pypolca-careful+Polypolish-careful	1
ATCC_25922_Escherichia_coli	00.1	pypolca+Polypolish-careful	2
ATCC_25922_Escherichia_coli	00.1	pypolca-careful+Polypolish	1
