genome	genome_size	target_illumina_depth	read_count	read_bases	actual_illumina_depth
ATCC_10708_Salmonella_enterica	4801704	00.1	4272	477566	.099457
ATCC_14035_Vibrio_cholerae	4142374	00.1	3254	413150	.099737
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.1	4224	510314	.099146
ATCC_19119_Listeria_ivanovii	2919549	00.1	2780	291613	.099882
ATCC_25922_Escherichia_coli	5204893	00.1	4268	524035	.100681
ATCC_33560_Campylobacter_jejuni	1768448	00.1	1474	178733	.101067
ATCC_35221_Campylobacter_lari	1513368	00.1	1174	149984	.099106
ATCC_35897_Listeria_welshimeri	2814137	00.1	2176	277987	.098782
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.1	2448	294283	.099942
ATCC_10708_Salmonella_enterica	4801704	00.2	8542	957248	.199355
ATCC_14035_Vibrio_cholerae	4142374	00.2	6506	833996	.201332
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.2	8446	1026815	.199494
ATCC_19119_Listeria_ivanovii	2919549	00.2	5560	580498	.198831
ATCC_25922_Escherichia_coli	5204893	00.2	8536	1043029	.200393
ATCC_33560_Campylobacter_jejuni	1768448	00.2	2946	356994	.201868
ATCC_35221_Campylobacter_lari	1513368	00.2	2350	301152	.198994
ATCC_35897_Listeria_welshimeri	2814137	00.2	4352	563625	.200283
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.2	4894	589761	.200290
ATCC_10708_Salmonella_enterica	4801704	00.3	12814	1437793	.299433
ATCC_14035_Vibrio_cholerae	4142374	00.3	9760	1243815	.300266
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.3	12670	1538243	.298856
ATCC_19119_Listeria_ivanovii	2919549	00.3	8340	877540	.300573
ATCC_25922_Escherichia_coli	5204893	00.3	12804	1556829	.299108
ATCC_33560_Campylobacter_jejuni	1768448	00.3	4420	532280	.300987
ATCC_35221_Campylobacter_lari	1513368	00.3	3524	458195	.302765
ATCC_35897_Listeria_welshimeri	2814137	00.3	6526	843518	.299743
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.3	7342	878821	.298458
ATCC_10708_Salmonella_enterica	4801704	00.4	17084	1910987	.397981
ATCC_14035_Vibrio_cholerae	4142374	00.4	13014	1658785	.400443
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.4	16892	2056675	.399580
ATCC_19119_Listeria_ivanovii	2919549	00.4	11122	1173563	.401967
ATCC_25922_Escherichia_coli	5204893	00.4	17070	2076963	.399040
ATCC_33560_Campylobacter_jejuni	1768448	00.4	5894	699069	.395300
ATCC_35221_Campylobacter_lari	1513368	00.4	4700	608827	.402299
ATCC_35897_Listeria_welshimeri	2814137	00.4	8702	1121548	.398540
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.4	9788	1173688	.398599
ATCC_10708_Salmonella_enterica	4801704	00.5	21356	2397490	.499299
ATCC_14035_Vibrio_cholerae	4142374	00.5	16266	2075299	.500992
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.5	21116	2567817	.498887
ATCC_19119_Listeria_ivanovii	2919549	00.5	13902	1455852	.498656
ATCC_25922_Escherichia_coli	5204893	00.5	21338	2615741	.502554
ATCC_33560_Campylobacter_jejuni	1768448	00.5	7366	888972	.502684
ATCC_35221_Campylobacter_lari	1513368	00.5	5874	755421	.499165
ATCC_35897_Listeria_welshimeri	2814137	00.5	10878	1405098	.499299
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.5	12236	1474249	.500673
ATCC_10708_Salmonella_enterica	4801704	00.6	25626	2880418	.599874
ATCC_14035_Vibrio_cholerae	4142374	00.6	19520	2497330	.602874
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.6	25338	3088028	.599955
ATCC_19119_Listeria_ivanovii	2919549	00.6	16682	1752468	.600252
ATCC_25922_Escherichia_coli	5204893	00.6	25606	3109064	.597334
ATCC_33560_Campylobacter_jejuni	1768448	00.6	8840	1063236	.601225
ATCC_35221_Campylobacter_lari	1513368	00.6	7050	908114	.600061
ATCC_35897_Listeria_welshimeri	2814137	00.6	13054	1693061	.601627
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.6	14682	1785477	.606370
ATCC_10708_Salmonella_enterica	4801704	00.7	29898	3362793	.700333
ATCC_14035_Vibrio_cholerae	4142374	00.7	22772	2885843	.696664
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.7	29562	3603587	.700121
ATCC_19119_Listeria_ivanovii	2919549	00.7	19462	2046376	.700921
ATCC_25922_Escherichia_coli	5204893	00.7	29874	3639599	.699264
ATCC_33560_Campylobacter_jejuni	1768448	00.7	10314	1235277	.698509
ATCC_35221_Campylobacter_lari	1513368	00.7	8224	1054555	.696826
ATCC_35897_Listeria_welshimeri	2814137	00.7	15230	1977194	.702593
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.7	17130	2069075	.702684
ATCC_10708_Salmonella_enterica	4801704	00.8	34168	3843425	.800429
ATCC_14035_Vibrio_cholerae	4142374	00.8	26026	3314635	.800177
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.8	33784	4122444	.800926
ATCC_19119_Listeria_ivanovii	2919549	00.8	22242	2343523	.802700
ATCC_25922_Escherichia_coli	5204893	00.8	34142	4164632	.800137
ATCC_33560_Campylobacter_jejuni	1768448	00.8	11786	1423371	.804870
ATCC_35221_Campylobacter_lari	1513368	00.8	9400	1208431	.798504
ATCC_35897_Listeria_welshimeri	2814137	00.8	17404	2252164	.800303
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.8	19578	2345246	.796475
ATCC_10708_Salmonella_enterica	4801704	00.9	38440	4333345	.902459
ATCC_14035_Vibrio_cholerae	4142374	00.9	29280	3739194	.902669
ATCC_17802_Vibrio_parahaemolyticus	5147091	00.9	38008	4625402	.898643
ATCC_19119_Listeria_ivanovii	2919549	00.9	25022	2641340	.904708
ATCC_25922_Escherichia_coli	5204893	00.9	38410	4678889	.898940
ATCC_33560_Campylobacter_jejuni	1768448	00.9	13260	1589362	.898732
ATCC_35221_Campylobacter_lari	1513368	00.9	10574	1362620	.900389
ATCC_35897_Listeria_welshimeri	2814137	00.9	19580	2523330	.896662
ATCC_BAA-679_Listeria_monocytogenes	2944530	00.9	22024	2650960	.900299
ATCC_10708_Salmonella_enterica	4801704	01.0	42710	4802177	1.000098
ATCC_14035_Vibrio_cholerae	4142374	01.0	32532	4151477	1.002197
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.0	42232	5133703	.997398
ATCC_19119_Listeria_ivanovii	2919549	01.0	27804	2915768	.998704
ATCC_25922_Escherichia_coli	5204893	01.0	42678	5204819	.999985
ATCC_33560_Campylobacter_jejuni	1768448	01.0	14734	1779926	1.006490
ATCC_35221_Campylobacter_lari	1513368	01.0	11750	1508254	.996620
ATCC_35897_Listeria_welshimeri	2814137	01.0	21756	2812606	.999455
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.0	24472	2948119	1.001218
ATCC_10708_Salmonella_enterica	4801704	01.1	46982	5283585	1.100356
ATCC_14035_Vibrio_cholerae	4142374	01.1	35786	4556606	1.099998
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.1	46454	5662610	1.100157
ATCC_19119_Listeria_ivanovii	2919549	01.1	30584	3210306	1.099589
ATCC_25922_Escherichia_coli	5204893	01.1	46946	5723479	1.099634
ATCC_33560_Campylobacter_jejuni	1768448	01.1	16206	1943040	1.098726
ATCC_35221_Campylobacter_lari	1513368	01.1	12924	1666197	1.100986
ATCC_35897_Listeria_welshimeri	2814137	01.1	23932	3086862	1.096912
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.1	26918	3235321	1.098756
ATCC_10708_Salmonella_enterica	4801704	01.2	51252	5769820	1.201619
ATCC_14035_Vibrio_cholerae	4142374	01.2	39040	4962057	1.197877
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.2	50678	6171449	1.199016
ATCC_19119_Listeria_ivanovii	2919549	01.2	33364	3495141	1.197150
ATCC_25922_Escherichia_coli	5204893	01.2	51212	6240415	1.198951
ATCC_33560_Campylobacter_jejuni	1768448	01.2	17680	2123056	1.200519
ATCC_35221_Campylobacter_lari	1513368	01.2	14098	1813961	1.198625
ATCC_35897_Listeria_welshimeri	2814137	01.2	26108	3368265	1.196908
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.2	29366	3543281	1.203343
ATCC_10708_Salmonella_enterica	4801704	01.3	55524	6234818	1.298459
ATCC_14035_Vibrio_cholerae	4142374	01.3	42292	5385082	1.299998
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.3	54900	6686059	1.298997
ATCC_19119_Listeria_ivanovii	2919549	01.3	36144	3799267	1.301319
ATCC_25922_Escherichia_coli	5204893	01.3	55480	6762495	1.299257
ATCC_33560_Campylobacter_jejuni	1768448	01.3	19154	2289564	1.294674
ATCC_35221_Campylobacter_lari	1513368	01.3	15274	1961375	1.296033
ATCC_35897_Listeria_welshimeri	2814137	01.3	28282	3659507	1.300401
ATCC_BAA-679_Listeria_monocytogenes	2944530	01.3	31814	3832537	1.301578
ATCC_10708_Salmonella_enterica	4801704	01.4	59796	6726674	1.400893
ATCC_14035_Vibrio_cholerae	4142374	01.4	45546	5800619	1.400312
ATCC_17802_Vibrio_parahaemolyticus	5147091	01.4	59124	7208425	1.400485
ATCC_19119_Listeria_ivanovii	2919549	01.4	38924	4077042	1.396462
ATCC_25922_Escherichia_coli	5204893	01.4	59748	7316079	1.405615
