genome,depth,polisher,chrom_region,error_count,error_type,existing
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 310599-310643,5,SNP,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 1025959-1025996,5,Mixed,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 1344295-1344325,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 1757898-1757928,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 2076079-2076130,5,Mixed,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 2082743-2082773,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 3103992-3104023,2,Mixed,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 3104157-3104197,3,SNP,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,chromosome 4549212-4549248,4,SNP,False
ATCC_10708_Salmonella_enterica,25.0,fmlrc2,plasmid 12130-12183,2,Mixed,False
ATCC_10708_Salmonella_enterica,25.0,hypo,chromosome 982104-982134,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,hypo,chromosome 2016784-2016814,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,hypo,chromosome 2808452-2808482,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,hypo,chromosome 2926593-2926623,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,hypo,chromosome 3272975-3273005,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,hypo,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.0,nextpolish,chromosome 70729-70759,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,nextpolish,chromosome 1716303-1716333,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,nextpolish,chromosome 1836203-1836233,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,nextpolish,chromosome 1836312-1836353,2,SNP,False
ATCC_10708_Salmonella_enterica,25.0,nextpolish,chromosome 2265531-2265561,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,nextpolish,chromosome 2926591-2926621,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,pilon,chromosome 4402520-4402550,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,pilon,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.0,polypolish-careful,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.0,polypolish,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.0,pypolca,chromosome 1716303-1716333,1,SNP,False
ATCC_10708_Salmonella_enterica,25.0,pypolca,plasmid 12153-12183,1,Deletion,True
ATCC_10708_Salmonella_enterica,25.0,pypolca-careful,plasmid 12153-12183,1,Deletion,True
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 499653-499687,4,Mixed,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 794050-794080,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 928667-928741,24,Mixed,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 1737031-1737061,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 1738492-1738525,4,Mixed,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 1744058-1744121,19,Mixed,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 1776458-1776488,1,SNP,False
ATCC_19119_Listeria_ivanovii,25.0,fmlrc2,chromosome 2413100-2413142,5,Mixed,False
